Qu Id,Name (Manufacturers),Name (Categories),Name,Weight (Packages),Height (Packages),Length (Packages),Width (Packages)
400457,Tommy Hilfiger,Sweatshirts,"Tommy Hilfiger Men's Dougless Sweatshirt (Cotton, polyester)",1.1,6,3,12
405744,Harney & Sons,Tea,Harney & Sons Gift Set,0.65,3,3,8
394144,,Sweaters,"Tommy Hilfiger Sport Mock-Neck Sweatshirt Dress, Color: Black",0.65,2,9,7
400447,Tommy Hilfiger,Sweatshirts,"Tommy Hilfiger Men's Dougless Sweatshirt (Cotton, polyester)",1.05,6,2,12
402330,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top,0.65,5,2,7
400510,,Sweatshirts,"Tommy Hilfiger Men's Dougless Sweatshirt, Color Apple Red, Size S",0.95,10,3,10
402319,,Sweatshirts,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
405623,Tommy Hilfiger,Wallets,Tommy Hilfiger Genuine Leather Wallet,0.4,1,5,4
402468,,Sweatshirts,Tommy Hilfiger Cotton Turtleneck Top,0.55,5,2,7
47118,,,,0,3,7,3
401600,,Bath/ Beach Towel,Plush Throw Blanket,1.8,9,3,13
403480,,Handbags & Accessories,"Frabill I3 Fishing Bib - Black, 3XL - Walmart.com",4,13,7,19
404666,,Women's Slippers,WARE LOGO SLIDE SANDALS,0.55,4,2,10
400844,Tommy Hilfiger,Sweatshirts,"Tommy Hilfiger Men's Dougless Sweatshirt, APPLE RED",1,6,2,12
400603,Tommy Hilfiger,Sweatshirts,"Tommy Hilfiger Men's Dougless Sweatshirt, SPORT GREY HEAT",1.1,9,2,12
396848,,Sweatshirts,DKNY Graphic Embellished Sweatshirt,0.9,7,2,9
396801,,Sweaters,"Tommy Hilfiger Sport Mock-Neck Sweatshirt Dress, Color: Black",0.9,7,2,10
403379,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
403363,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
399435,,Sweaters,Tommy Hilfiger Cotton Turtleneck Top & Reviews - Tops - Women - Macy's,0.55,5,2,7
403340,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
400501,Tommy Hilfiger,Sweatshirts,"Tommy Hilfiger Men's Dougless Sweatshirt (Cotton, polyester)",1.1,10,2,11
403981,Tommy Hilfiger,Wallets,Tommy Hilfiger Genuine Leather Wallet,0.3,1,5,4
404643,Tommy Hilfiger,Wallets,Tommy Hilfiger Genuine Leather Wallet,0.35,1,5,4
29673,,,,0,6,6,8
403798,Wet Brush,Cosmetic Set (Small - sample bag),Wet Brush Original Detangler,0.9,12,4,4
399577,,Winter Jackets,"Helly Hansen Dubliner Faux Fur Hooded Parka, Size M ",2.55,8,5,14
397924,,Men's Winter Boots,Timberland | World Hiker Mid Boot | Nordstrom Rack,2.65,9,4,12
403453,,Winter Jackets,Frabill I3 Fishing Jacket - Walmart.com,3.3,14,6,22
402223,m'aycreate,Lipsticks,3 Crystal Jelly Lipsticks ,0.1,1,4,4
394776,,T-shirts,Scoopneck Ribbed Tank BRUNELLO CUCINELLI,1.5,12,3,15
398127,,Sweatshirts,"Charter Club Cashmere Turtleneck Sweater, Regular & Petite Sizes, Created For Macy's, Color Blue Opal Heather , Size M",0.45,7,2,10
